CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
335;FALSE;30;2;2;NA;NA;0.95;1.68;0.76
336;FALSE;95;3;0;NA;NA;0.2;1.83;0.4
337;FALSE;113;0;0;NA;NA;0.63;1.68;0.67
338;FALSE;17;0;1;NA;NA;1.61;1.58;0.39
339;FALSE;82;0;2;NA;NA;0.87;1.47;0.51
340;FALSE;52;4;0;NA;NA;1.84;1.83;0.88
341;FALSE;9;4;0;NA;NA;0.95;1.94;0.7
342;FALSE;51;4;0;NA;NA;1.36;2.17;0.72
343;FALSE;7;4;0;NA;NA;1.25;1.24;0.53
344;FALSE;44;0;0;NA;NA;0.89;1.69;0.5
345;FALSE;38;3;0;NA;NA;1.28;1.86;0.74
346;FALSE;8;4;0;NA;NA;1.18;2.28;0.59
347;FALSE;30;4;0;NA;NA;1.16;1.97;0.68
348;FALSE;44;4;1;NA;NA;0.95;2.5;0.85
349;FALSE;12;4;0;NA;NA;1.22;1.7;0.57
350;FALSE;48;4;0;NA;NA;1.5;1.73;0.6
351;FALSE;14;4;0;NA;NA;1.56;2.07;0.6
352;FALSE;34;4;0;NA;NA;1.28;1.93;0.62
353;FALSE;63;4;0;NA;NA;1.08;2.09;0.68
354;FALSE;52;0;0;NA;NA;0.53;1.61;0.61
355;FALSE;75;0;0;NA;NA;0.31;1.32;0.53
356;FALSE;81;1;0;NA;NA;1.01;1.51;0.38
357;FALSE;76;0;0;NA;NA;0.8;1.42;0.56
358;FALSE;7;4;0;NA;NA;1.3;1.66;0.65
359;FALSE;21;4;0;NA;NA;1.34;2.05;0.77
360;FALSE;76;6;0;16;NA;1.01;2.14;0.76
361;FALSE;6;4;0;NA;NA;1.19;1.61;0.56
362;FALSE;72;0;0;NA;NA;1.19;1.78;0.8
363;FALSE;16;4;0;NA;NA;1.22;2.45;0.78
364;FALSE;2;4;0;NA;NA;1.23;1.97;0.8
365;FALSE;60;4;0;NA;NA;1.42;2.39;0.72
366;FALSE;7;4;0;NA;NA;1.22;1.76;0.65
367;FALSE;116;5;0;NA;8;0.67;1.63;0.45
368;FALSE;14;5;0;NA;10;0.97;1.81;0.52
369;FALSE;59;2;0;NA;NA;1.56;2.1;0.76
370;FALSE;9;4;0;NA;NA;1.4;2.03;0.66
371;TRUE;23;4;0;NA;NA;0.97;2.2;0.47
372;FALSE;25;4;0;NA;NA;1.35;2.28;0.75
373;FALSE;37;4;0;NA;NA;0.95;1.53;0.58
374;FALSE;41;4;0;NA;NA;0.83;2.05;0.63
375;FALSE;54;5;0;NA;2;1.35;2.22;0.61
376;FALSE;30;4;2;NA;NA;1.72;2.06;0.88
377;FALSE;15;4;0;NA;NA;1.15;1.84;0.59
378;FALSE;71;4;0;NA;NA;1.12;2.33;0.7
379;FALSE;13;4;0;NA;NA;1.49;1.71;0.58
