CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
274;TRUE;acs;3;3.59;2.12;0.43;63;0.68;NA;NA;19;1
275;FALSE;eas;3;2.59;5.71;0.16;41;NA;NA;545;10;0
276;FALSE;mmas;1;2.67;4.13;0.3;69;NA;NA;NA;13;0
277;FALSE;eas;3;3.9;4.4;0.33;51;NA;NA;630;26;1
278;FALSE;acs;0;1.67;7.59;0.04;70;0.83;NA;NA;NA;NA
279;FALSE;acs;2;4.74;9.18;0.06;65;0.63;NA;NA;15;1
280;FALSE;acs;2;3.44;1.32;0.4;82;0.59;NA;NA;17;0
281;FALSE;mmas;3;2.65;8.56;0.23;69;NA;NA;NA;13;0
282;FALSE;acs;3;4.08;5.16;0.05;47;0.87;NA;NA;38;1
283;FALSE;eas;0;3.67;5.23;0.21;31;NA;NA;77;NA;NA
284;FALSE;eas;1;3.15;8.98;0.28;51;NA;NA;636;6;1
285;FALSE;eas;3;3.21;5.62;0.21;48;NA;NA;377;9;0
286;TRUE;acs;3;2.87;6.61;0.38;50;0.92;NA;NA;16;1
287;FALSE;acs;3;4.31;3.99;0.02;77;0.8;NA;NA;5;0
288;FALSE;acs;3;3.69;2.74;0.12;97;0.82;NA;NA;8;0
289;FALSE;as;2;4.15;2.57;0.07;58;NA;NA;NA;34;1
290;FALSE;as;3;4.16;7.94;0.55;76;NA;NA;NA;18;1
291;FALSE;acs;2;3.43;2.9;0.24;40;0.77;NA;NA;8;1
292;FALSE;acs;1;3.36;5.94;0.18;45;0.43;NA;NA;14;1
293;FALSE;acs;3;4.18;8.83;0.26;23;0.88;NA;NA;11;1
294;FALSE;as;2;3.97;6.68;0.24;14;NA;NA;NA;12;1
295;FALSE;ras;0;3.24;2.71;0.06;29;NA;13;NA;NA;NA
296;FALSE;acs;2;4.05;4.33;0.02;61;0.18;NA;NA;13;1
297;FALSE;acs;1;3.89;3.19;0.29;37;0.99;NA;NA;12;0
298;FALSE;acs;0;4.25;4.09;0.33;70;0.94;NA;NA;NA;NA
299;FALSE;ras;3;3.6;8.38;0.08;71;NA;63;NA;18;1
300;FALSE;as;0;3.84;4.49;0.22;78;NA;NA;NA;NA;NA
301;FALSE;acs;0;4.71;4.09;0.31;21;0.9;NA;NA;NA;NA
302;FALSE;mmas;3;3.52;3.72;0.24;34;NA;NA;NA;24;1
303;FALSE;mmas;2;4.91;3.83;0.49;79;NA;NA;NA;16;1
304;FALSE;eas;3;3.46;1.67;0.33;16;NA;NA;566;25;1
305;FALSE;as;0;2.55;4.17;0.33;60;NA;NA;NA;NA;NA
306;FALSE;as;0;4.87;1.66;0.32;41;NA;NA;NA;NA;NA
307;FALSE;acs;2;3.87;3.31;0.07;60;0.98;NA;NA;29;0
308;FALSE;acs;1;2.23;4.41;0.64;33;0.99;NA;NA;19;1
309;FALSE;acs;1;3.71;7.44;0.46;45;0.59;NA;NA;20;0
310;FALSE;mmas;0;4.55;2.88;0.17;48;NA;NA;NA;NA;NA
311;FALSE;eas;0;1.68;5.24;0.13;27;NA;NA;739;NA;NA
312;FALSE;eas;0;2.66;3.79;0.13;64;NA;NA;238;NA;NA
313;FALSE;acs;2;2.9;6.45;0.34;53;0.92;NA;NA;30;1
314;FALSE;eas;0;1.76;3.97;0.43;59;NA;NA;120;NA;NA
315;FALSE;as;3;3.79;5.82;0.33;38;NA;NA;NA;11;1
316;FALSE;acs;3;3.13;1.23;0.75;26;0.58;NA;NA;6;1
317;FALSE;eas;3;3.34;5.02;0.35;28;NA;NA;37;7;0
318;FALSE;acs;3;3.31;4.22;0.24;89;0.59;NA;NA;8;1
319;FALSE;acs;2;4.51;3.44;0.47;86;0.75;NA;NA;15;0
320;FALSE;acs;0;4.2;1.57;0.21;74;0.73;NA;NA;NA;NA
321;FALSE;acs;0;2.38;1.96;0.78;45;0.05;NA;NA;NA;NA
322;FALSE;eas;3;3.39;1.07;0.12;80;NA;NA;615;8;1
323;FALSE;eas;3;3.87;3.75;0.17;68;NA;NA;482;37;0
324;FALSE;acs;0;2.6;8.49;0.2;33;0.85;NA;NA;NA;NA
325;FALSE;acs;2;4.97;2.55;0.24;63;0.8;NA;NA;12;0
326;FALSE;eas;2;4.36;4.68;0.59;59;NA;NA;457;9;1
327;FALSE;acs;2;4.22;1.99;0.57;24;0.76;NA;NA;26;1
328;FALSE;as;2;2.78;7.1;0.18;37;NA;NA;NA;16;0
329;FALSE;eas;3;4.17;2.96;0.33;87;NA;NA;154;14;0
330;FALSE;mmas;0;4.77;7.64;0.29;95;NA;NA;NA;NA;NA
331;FALSE;as;2;3.12;2.81;0.11;31;NA;NA;NA;21;0
332;FALSE;acs;1;3.31;8.3;0.33;44;0.91;NA;NA;36;1
333;FALSE;acs;2;4.57;5.4;0.48;96;0.64;NA;NA;16;0
334;FALSE;acs;3;3.53;3.23;0.04;40;0.87;NA;NA;28;0
335;FALSE;eas;3;4.15;4.76;0.34;58;NA;NA;54;12;1
336;FALSE;eas;2;2;5.41;0.64;26;NA;NA;469;30;1
337;FALSE;as;3;2.75;5.47;0.27;84;NA;NA;NA;26;1
338;FALSE;eas;3;4.58;9.74;0.56;56;NA;NA;533;5;1
339;FALSE;eas;2;4.41;5.78;0.13;41;NA;NA;446;31;1
340;FALSE;as;1;2.77;4.9;0.39;52;NA;NA;NA;29;1
341;FALSE;eas;3;0.05;1.08;0.34;27;NA;NA;56;11;0
342;FALSE;eas;3;4.79;4.8;0.4;50;NA;NA;415;36;1
343;FALSE;as;3;2.42;5.55;0.15;66;NA;NA;NA;43;1
344;FALSE;mmas;1;4.98;5.19;0.47;84;NA;NA;NA;33;0
